time,field_value,field_friendly_name
2025-09-03T13:51:11.614472Z,2.0,EDP-Anticipation
2025-09-03T13:51:11.631629Z,66.0,EDP-Concentrated
2025-09-03T13:51:11.641328Z,5.0,EDP-Confident
2025-09-03T13:51:11.652284Z,20.0,EDP-Distress
2025-09-03T13:51:11.661988Z,40.0,EDP-Emotional
2025-09-03T13:51:11.672089Z,18.0,EDP-Energetic
2025-09-03T13:51:11.682327Z,29.0,EDP-Hesitation
2025-09-03T13:51:11.692642Z,0.0,EDP-Passionate
2025-09-03T13:51:11.703520Z,66.0,EDP-Stressful
2025-09-03T13:51:11.713414Z,30.0,EDP-Thoughtful
2025-09-03T13:51:11.723084Z,0.0,EDP-Uneasy
2025-09-03T13:51:11.733816Z,0.0,EmotionPlayer-Aggression
2025-09-03T13:51:11.747166Z,14.0,EmotionPlayer-Energy
2025-09-03T13:51:11.756711Z,0.0,EmotionPlayer-Joy
2025-09-03T13:51:11.766885Z,255.0,EmotionPlayer-Risk
2025-09-03T13:51:11.777836Z,0.0,EmotionPlayer-Sad
2025-09-03T13:51:11.788341Z,72.0,EmotionPlayer-Stress
2025-09-03T13:51:11.798355Z,58.0,JQ
2025-09-03T13:51:11.808876Z,54.0,JQcl
2025-09-03T13:51:11.819338Z,-1.0,LVA-CognitiveStress
2025-09-03T13:51:11.832462Z,-1.0,LVA-EmotionStress
2025-09-03T13:51:11.845923Z,-1.0,LVA-EnergyStress
2025-09-03T13:51:11.858826Z,-1.0,LVA-GlobalStress
2025-09-03T13:51:11.869806Z,-1.0,LVA-MentalEffort
2025-09-03T13:51:11.880818Z,-1.0,LVA-SOSStress
2025-09-03T13:51:11.892196Z,-1.0,LVARiskStress
2025-09-03T13:51:11.902457Z,94.0,SOS
2025-09-03T13:51:11.911953Z,825.0,VOL1
2025-09-03T13:51:11.921613Z,64.0,VOL2
2025-09-03T13:51:11.930874Z,0.0,aggression
2025-09-03T13:51:11.940696Z,0.0,anticipation
2025-09-03T13:51:11.952331Z,0.0,arousal
2025-09-03T13:51:11.963494Z,4.0,atmosphere
2025-09-03T13:51:11.973245Z,0.0,channel
2025-09-03T13:51:11.984078Z,108.0,cognitiveHighLowBalance
2025-09-03T13:51:11.995322Z,30.0,concentration
2025-09-03T13:51:12.009668Z,0.0,dissatisfied
2025-09-03T13:51:12.022584Z,30.0,emotionBalance
2025-09-03T13:51:12.033633Z,85.0,emotionCognitiveRatio
