time,state,topic
2025-11-03T09:04:58.956018Z,19.01,PM1/sensor/steinel_tmp/state
2025-11-03T09:04:59.003057Z,10.02,PM1/sensor/steinel_dptmp/state
2025-11-03T09:04:59.118027Z,100297.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:04:59.157980Z,101123.4,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:04:59.232994Z,0.0,PM1/sensor/steinel_voc/state
2025-11-03T09:05:08.952870Z,19.04,PM1/sensor/steinel_tmp/state
2025-11-03T09:05:09.002968Z,10.05,PM1/sensor/steinel_dptmp/state
2025-11-03T09:05:09.078103Z,100298.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:05:09.128101Z,101124.4,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:05:09.211085Z,1.0,PM1/sensor/steinel_voc/state
2025-11-03T09:05:09.980350Z,21.32,PM1/sensor/ee_tmp/state
2025-11-03T09:05:18.958072Z,19.06,PM1/sensor/steinel_tmp/state
2025-11-03T09:05:19.006929Z,10.07,PM1/sensor/steinel_dptmp/state
2025-11-03T09:05:19.157921Z,101124.3,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:05:19.228069Z,0.0,PM1/sensor/steinel_voc/state
2025-11-03T09:05:28.992606Z,10.1,PM1/sensor/steinel_dptmp/state
2025-11-03T09:05:29.037950Z,56.08,PM1/sensor/steinel_hih/state
2025-11-03T09:05:29.218221Z,1.0,PM1/sensor/steinel_voc/state
2025-11-03T09:05:38.947892Z,19.07,PM1/sensor/steinel_tmp/state
2025-11-03T09:05:38.997766Z,10.08,PM1/sensor/steinel_dptmp/state
2025-11-03T09:05:39.048135Z,56.0,PM1/sensor/steinel_hih/state
2025-11-03T09:05:39.098154Z,100297.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:05:39.123103Z,101123.3,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:05:39.840264Z,46.04,PM1/sensor/ee_hih/state
2025-11-03T09:05:45.722049Z,21.42,PM1/sensor/ee_tmp/state
2025-11-03T09:05:48.923061Z,19.09,PM1/sensor/steinel_tmp/state
2025-11-03T09:05:48.965726Z,10.1,PM1/sensor/steinel_dptmp/state
2025-11-03T09:05:49.122303Z,101123.2,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:05:49.171935Z,0.0,PM1/sensor/steinel_voc/state
2025-11-03T09:05:51.939872Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:05:54.379976Z,0.0,PM1/sensor/ee_lux/state
2025-11-03T09:05:58.859899Z,19.14,PM1/sensor/steinel_tmp/state
2025-11-03T09:05:58.923280Z,10.09,PM1/sensor/steinel_dptmp/state
2025-11-03T09:05:58.947921Z,55.8,PM1/sensor/steinel_hih/state
2025-11-03T09:05:59.048708Z,101123.1,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:06:08.909053Z,10.06,PM1/sensor/steinel_dptmp/state
2025-11-03T09:06:08.953956Z,55.68,PM1/sensor/steinel_hih/state
2025-11-03T09:06:09.124327Z,1.0,PM1/sensor/steinel_voc/state
2025-11-03T09:06:12.770942Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:06:16.125132Z,12.0,PM1/sensor/ee_lux/state
2025-11-03T09:06:18.904924Z,19.12,PM1/sensor/steinel_tmp/state
2025-11-03T09:06:18.965090Z,10.05,PM1/sensor/steinel_dptmp/state
2025-11-03T09:06:21.025132Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:06:21.525337Z,0.0,PM1/sensor/ee_lux/state
2025-11-03T09:06:27.483083Z,21.52,PM1/sensor/ee_tmp/state
2025-11-03T09:06:28.848842Z,19.18,PM1/sensor/steinel_tmp/state
2025-11-03T09:06:28.893781Z,10.07,PM1/sensor/steinel_dptmp/state
2025-11-03T09:06:28.943940Z,55.6,PM1/sensor/steinel_hih/state
2025-11-03T09:06:29.014588Z,101123.0,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:06:32.782728Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:06:33.365104Z,12.0,PM1/sensor/ee_lux/state
2025-11-03T09:06:35.313932Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:06:35.816129Z,0.0,PM1/sensor/ee_lux/state
2025-11-03T09:06:39.815947Z,45.68,PM1/sensor/ee_hih/state
2025-11-03T09:06:43.716387Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:06:44.264895Z,12.0,PM1/sensor/ee_lux/state
2025-11-03T09:06:55.555955Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:06:57.906006Z,12.0,PM1/sensor/ee_lux/state
2025-11-03T09:06:58.925894Z,10.05,PM1/sensor/steinel_dptmp/state
2025-11-03T09:06:58.963757Z,55.48,PM1/sensor/steinel_hih/state
2025-11-03T09:06:59.118967Z,0.0,PM1/sensor/steinel_voc/state
2025-11-03T09:07:07.245985Z,21.62,PM1/sensor/ee_tmp/state
2025-11-03T09:07:07.806036Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:07:08.864010Z,19.24,PM1/sensor/steinel_tmp/state
2025-11-03T09:07:08.909002Z,10.13,PM1/sensor/steinel_dptmp/state
2025-11-03T09:07:08.959006Z,55.6,PM1/sensor/steinel_hih/state
2025-11-03T09:07:09.084072Z,101122.8,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:07:09.146150Z,1.0,PM1/sensor/steinel_voc/state
2025-11-03T09:07:10.914261Z,0.0,PM1/sensor/ee_lux/state
2025-11-03T09:07:19.006057Z,100298.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:07:19.075831Z,101123.8,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:07:20.303947Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:07:26.685787Z,12.0,PM1/sensor/ee_lux/state
2025-11-03T09:07:28.848938Z,19.26,PM1/sensor/steinel_tmp/state
2025-11-03T09:07:28.902051Z,10.18,PM1/sensor/steinel_dptmp/state
2025-11-03T09:07:28.954365Z,55.68,PM1/sensor/steinel_hih/state
2025-11-03T09:07:29.893753Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:07:30.386139Z,0.0,PM1/sensor/ee_lux/state
2025-11-03T09:07:38.536124Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:07:38.863974Z,19.28,PM1/sensor/steinel_tmp/state
2025-11-03T09:07:38.913856Z,10.17,PM1/sensor/steinel_dptmp/state
2025-11-03T09:07:38.969128Z,55.6,PM1/sensor/steinel_hih/state
2025-11-03T09:07:39.063969Z,101123.7,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:07:39.775955Z,45.32,PM1/sensor/ee_hih/state
2025-11-03T09:07:41.946004Z,0.0,PM1/sensor/ee_lux/state
2025-11-03T09:07:46.975974Z,21.72,PM1/sensor/ee_tmp/state
2025-11-03T09:07:48.858967Z,19.29,PM1/sensor/steinel_tmp/state
2025-11-03T09:07:48.909031Z,10.16,PM1/sensor/steinel_dptmp/state
2025-11-03T09:07:48.963822Z,55.48,PM1/sensor/steinel_hih/state
2025-11-03T09:07:49.052210Z,101123.6,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:07:49.239081Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:07:50.575916Z,12.0,PM1/sensor/ee_lux/state
2025-11-03T09:07:54.565943Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:07:58.833805Z,19.31,PM1/sensor/steinel_tmp/state
2025-11-03T09:07:58.879161Z,10.14,PM1/sensor/steinel_dptmp/state
2025-11-03T09:07:58.932463Z,55.4,PM1/sensor/steinel_hih/state
2025-11-03T09:08:07.405850Z,0.0,PM1/sensor/ee_lux/state
2025-11-03T09:08:08.833689Z,19.33,PM1/sensor/steinel_tmp/state
2025-11-03T09:08:08.890932Z,10.16,PM1/sensor/steinel_dptmp/state
2025-11-03T09:08:09.024103Z,101123.5,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:08:09.755930Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:08:14.276000Z,12.0,PM1/sensor/ee_lux/state
2025-11-03T09:08:17.214244Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:08:17.705848Z,0.0,PM1/sensor/ee_lux/state
2025-11-03T09:08:18.818631Z,19.32,PM1/sensor/steinel_tmp/state
2025-11-03T09:08:18.884117Z,10.15,PM1/sensor/steinel_dptmp/state
2025-11-03T09:08:19.006177Z,101123.6,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:08:24.746128Z,21.82,PM1/sensor/ee_tmp/state
2025-11-03T09:08:28.826031Z,19.36,PM1/sensor/steinel_tmp/state
2025-11-03T09:08:28.878868Z,10.19,PM1/sensor/steinel_dptmp/state
2025-11-03T09:08:29.014757Z,101123.5,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:08:30.154015Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:08:32.188841Z,12.0,PM1/sensor/ee_lux/state
2025-11-03T09:08:38.843787Z,10.16,PM1/sensor/steinel_dptmp/state
2025-11-03T09:08:38.893861Z,55.28,PM1/sensor/steinel_hih/state
2025-11-03T09:08:39.754106Z,45.16,PM1/sensor/ee_hih/state
2025-11-03T09:08:47.135903Z,8.0,PM1/sensor/ee_lux/state
2025-11-03T09:08:48.804091Z,19.41,PM1/sensor/steinel_tmp/state
2025-11-03T09:08:48.856133Z,10.21,PM1/sensor/steinel_dptmp/state
2025-11-03T09:08:48.974202Z,101123.3,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:08:50.494458Z,14.0,PM1/sensor/ee_lux/state
2025-11-03T09:08:58.799108Z,19.4,PM1/sensor/steinel_tmp/state
2025-11-03T09:08:58.855842Z,10.2,PM1/sensor/steinel_dptmp/state
2025-11-03T09:09:05.426205Z,16.0,PM1/sensor/ee_lux/state
2025-11-03T09:09:06.875959Z,10.0,PM1/sensor/ee_lux/state
2025-11-03T09:09:07.484432Z,4.0,PM1/sensor/ee_lux/state
2025-11-03T09:09:08.754057Z,3.0,PM1/sensor/steinel_lux/state
2025-11-03T09:09:08.853944Z,19.37,PM1/sensor/steinel_tmp/state
2025-11-03T09:09:08.854014Z,10.15,PM1/sensor/steinel_dptmp/state
2025-11-03T09:09:08.873980Z,55.2,PM1/sensor/steinel_hih/state
2025-11-03T09:09:08.972277Z,101123.4,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:09:12.976170Z,10.0,PM1/sensor/ee_lux/state
2025-11-03T09:09:18.749308Z,4.0,PM1/sensor/steinel_lux/state
2025-11-03T09:09:18.842064Z,19.46,PM1/sensor/steinel_tmp/state
2025-11-03T09:09:18.842126Z,10.24,PM1/sensor/steinel_dptmp/state
2025-11-03T09:09:18.942776Z,100299.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:09:18.973944Z,101124.2,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:09:19.042347Z,0.0,PM1/sensor/steinel_voc/state
2025-11-03T09:09:22.826325Z,21.92,PM1/sensor/ee_tmp/state
2025-11-03T09:09:27.925927Z,11.0,PM1/sensor/ee_lux/state
2025-11-03T09:09:28.768773Z,19.45,PM1/sensor/steinel_tmp/state
2025-11-03T09:09:28.813816Z,10.25,PM1/sensor/steinel_dptmp/state
2025-11-03T09:09:28.864062Z,55.28,PM1/sensor/steinel_hih/state
2025-11-03T09:09:28.963742Z,5.0,PM1/sensor/ee_lux/state
2025-11-03T09:09:34.726419Z,11.0,PM1/sensor/ee_lux/state
2025-11-03T09:09:38.734058Z,3.0,PM1/sensor/steinel_lux/state
2025-11-03T09:09:38.763945Z,19.43,PM1/sensor/steinel_tmp/state
2025-11-03T09:09:38.808962Z,10.2,PM1/sensor/steinel_dptmp/state
2025-11-03T09:09:38.859175Z,55.2,PM1/sensor/steinel_hih/state
2025-11-03T09:09:38.967244Z,101124.3,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:09:39.020203Z,1.0,PM1/sensor/steinel_voc/state
2025-11-03T09:09:39.726084Z,44.92,PM1/sensor/ee_hih/state
2025-11-03T09:09:43.175068Z,5.0,PM1/sensor/ee_lux/state
2025-11-03T09:09:48.740294Z,4.0,PM1/sensor/steinel_lux/state
2025-11-03T09:09:48.839245Z,19.46,PM1/sensor/steinel_tmp/state
2025-11-03T09:09:48.839314Z,10.24,PM1/sensor/steinel_dptmp/state
2025-11-03T09:09:48.954313Z,101124.2,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:09:58.115915Z,2.0,PM1/sensor/ee_lux/state
2025-11-03T09:09:58.748985Z,19.49,PM1/sensor/steinel_tmp/state
2025-11-03T09:09:58.793932Z,8.0,PM1/sensor/ee_lux/state
2025-11-03T09:09:58.819163Z,10.28,PM1/sensor/steinel_dptmp/state
2025-11-03T09:09:58.874165Z,55.28,PM1/sensor/steinel_hih/state
2025-11-03T09:09:58.952162Z,101124.1,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:10:08.806094Z,10.26,PM1/sensor/steinel_dptmp/state
2025-11-03T09:10:08.866174Z,55.2,PM1/sensor/steinel_hih/state
2025-11-03T09:10:09.014117Z,0.0,PM1/sensor/steinel_voc/state
2025-11-03T09:10:10.015161Z,14.0,PM1/sensor/ee_lux/state
2025-11-03T09:10:17.066093Z,8.0,PM1/sensor/ee_lux/state
2025-11-03T09:10:17.566132Z,2.0,PM1/sensor/ee_lux/state
2025-11-03T09:10:18.755751Z,19.52,PM1/sensor/steinel_tmp/state
2025-11-03T09:10:18.806012Z,10.28,PM1/sensor/steinel_dptmp/state
2025-11-03T09:10:18.947259Z,101124.0,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:10:19.016167Z,1.0,PM1/sensor/steinel_voc/state
